review,sentimiento,idioma,review_norm,confianza,categoria_idioma,emojis_encontrados,tiene_emoji,num_emojis
"Fuimos de vacaciones y pasamos solo 1 noche a Sevilla, y la experiencia no fue del todo buena. Llegamos a la habitación y no habían toallas en el baño. Además a las 8 de la mañana nos tocaron la puerta despertándonos, y luego entraron a la habitación antes de que alcanzáramos a responder (al parecer para dejar algo, se fueron en seguida). La cama rica y todo muy limpio. No me gustó tampoco que había que pagar mucho para incluir el desayuno y el estacionamiento.",neutro,es,fuimos de vacaciones y pasamos solo 1 noche a sevilla y la experiencia no fue del todo buena llegamos a la habitacion y no habian toallas en el bano ademas a las 8 de la manana nos tocaron la puerta despertandonos y luego entraron a la habitacion antes de que alcanzaramos a responder al parecer para dejar algo se fueron en seguida la cama rica y todo muy limpio no me gusto tampoco que habia que pagar mucho para incluir el desayuno y el estacionamiento,1.0,español_seguro,[],False,0
"Sevilla Center, un disgusto en pleno centro de Sevilla. Horrible experiencia, el que se supone que iba a ser mi mejor día de vacaciones se convirtió en el peor. NO LO RECOMIENDO. Mi pareja y yo venimos de Madrid para ver a familiares y nuestro último día quisimos pasar el día solos en un bonito hotel CON PISCINA (en Sevilla hace mucho calor y queríamos poder aprovechar la tarde con un baño refrescante) cerca del centro para pasear despuésy sobretodo que prometía cumplir las normas de seguridad referentes al COVID19 (algo muy importante para nosotros). Cuando vimos la Página web de este hotel nos pareció el hotel perfecto, tenia todo lo que queríamos. FUE UN GRAN ERROR. Cuando llegamos a la piscina vemos que esta atestada de gente que pasea por el recinto sin mascarilla, ojo,...",negativo,es,sevilla center un disgusto en pleno centro de sevilla horrible experiencia el que se supone que iba a ser mi mejor dia de vacaciones se convirtio en el peor no lo recomiendo mi pareja y yo venimos de madrid para ver a familiares y nuestro ultimo dia quisimos pasar el dia solos en un bonito hotel con piscina en sevilla hace mucho calor y queriamos poder aprovechar la tarde con un bano refrescante cerca del centro para pasear despuesy sobretodo que prometia cumplir las normas de seguridad referentes al covid19 algo muy importante para nosotros cuando vimos la pagina web de este hotel nos parecio el hotel perfecto tenia todo lo que queriamos fue un gran error cuando llegamos a la piscina vemos que esta atestada de gente que pasea por el recinto sin mascarilla ojo,1.0,español_seguro,[],False,0
"La habitación, la piscina y el personal muy bien, el bar de la piscina pésimo, todo excesivamente escaso y muy caro, no suelo quejarme de la comida, pésimos pintas de [PERSONA] y pusieron 4 trocitos duros y lo mejor es la parrilla de verduras, 4 trozos de pimientos 4 trocitos de cebolla y 4 de [PERSONA], vamos un robo",neutro,es,la habitacion la piscina y el personal muy bien el bar de la piscina pesimo todo excesivamente escaso y muy caro no suelo quejarme de la comida pesimos pintas de solomillo y pusieron 4 trocitos duros y lo mejor es la parrilla de verduras 4 trozos de pimientos 4 trocitos de cebolla y 4 de champinon vamos un robo,1.0,español_seguro,[],False,0
"Estancia normal, por debajo de las expectativas y con frío en las habitaciones No encontré ayuda con el equipaje Al estacionar el coche para el check.-in me increpó un taxista porque no hay sitio disponible para estacoinar",neutro,es,estancia normal por debajo de las expectativas y con frio en las habitaciones no encontre ayuda con el equipaje al estacionar el coche para el checkin me increpo un taxista porque no hay sitio disponible para estacoinar,1.0,español_seguro,[],False,0
"Una experiencia muy agridulce, por no decir pésima. Llegamos al hotel, teníamos dos reservas una para el sábado noche en The Level, hab. normal, y otra para el domingo en Junior suite. [PERSONA] llegamos al check-in nos comunicaron que no tendríamos que hacer ningún tipo de check-out y check-in ya que la habitación, junior suite estaría disponible pronto. Una vez terminamos el check-in, subimos a la habitación y tuvimos que bajar nuevamente ya que la habitación estaba sin hacer. [PERSONA] dieron otra habitación, misma planta, mismas características. 10 minutos más tarde, room-service nos trajo un ""detalle"" que consistía en dos botellitas de agua y unas chuches. Me imagino que [PERSONA], o cual sería el detalle si los huéspedes tuviesen 30 años más. Se me cae la cara de verguenza si...",negativo,es,una experiencia muy agridulce por no decir pesima llegamos al hotel teniamos dos reservas una para el sabado noche en the level hab normal y otra para el domingo en junior suite cuando llegamos al checkin nos comunicaron que no tendriamos que hacer ningun tipo de checkout y checkin ya que la habitacion junior suite estaria disponible pronto una vez terminamos el checkin subimos a la habitacion y tuvimos que bajar nuevamente ya que la habitacion estaba sin hacer nos dieron otra habitacion misma planta mismas caracteristicas 10 minutos mas tarde roomservice nos trajo un detalle que consistia en dos botellitas de agua y unas chuches me imagino que harian o cual seria el detalle si los huespedes tuviesen 30 anos mas se me cae la cara de verguenza si,1.0,español_seguro,[],False,0
"Debajo de la habitación hay una terraza de una discoteca. Música y gritos hasta las 6,30 am!! En fin, no he dormido nada. A otros compañeros que han dormido en esa planta dando a la discoteca les ha ocurrido lo mismo. Al reclamar en recepción, ningun comentario y extrañados de ello",negativo,es,debajo de la habitacion 304 hay una terraza de una discoteca musica y gritos hasta las 630 am en fin no he dormido nada a otros companeros que han dormido en esa planta dando a la discoteca les ha ocurrido lo mismo al reclamar en recepcion ningun comentario y extranados de ello,1.0,español_seguro,[],False,0
"[PERSONA] fue, todo muy bonito fotos, experiencias, entras el personal y la primera.....Ninguna manera de cargar tu coche... la segunda? Una suite en una tercera planta debajo de una discoteca?Pues si al parecer e. Ese hotel si.",negativo,es,asi fue  todo muy bonito fotos  experiencias  entras el personal y la primeraninguna manera de cargar tu coche la segunda una suite en una tercera planta debajo de una discotecapues si al parecer e ese hotel si,1.0,español_seguro,[],False,0
"Al llegar, mientras esperábamos para hacer el checking había una señora quejándose de que olía a cañería su habitación. Pues bien, tenía toda la razón, nos dieron una habitación con un olor asqueroso a pipi, insoportable, nos la cambiaron. Pero es que cuando estábamos entrando, [PERSONA] una limpiadora y entró, ""me han dicho que ocurre algo en el baño"", echó ambientados y se fue... si ya saben que hay habitaciones con ese problema me parece de vergüenza que la den a los clientes. Una de las toallas del baño estaba vieja, con boquetes... ¡de vergüenza! El hotel en general muy viejo y los pasillos no huelen bien. No recomiendo ese hotel.",negativo,es,al llegar mientras esperabamos para hacer el checking habia una senora quejandose de que olia a caneria su habitacion pues bien tenia toda la razon nos dieron una habitacion con un olor asqueroso a pipi insoportable nos la cambiaron pero es que cuando estabamos entrando llego una limpiadora y entro me han dicho que ocurre algo en el bano echo ambientados y se fue si ya saben que hay habitaciones con ese problema me parece de verguenza que la den a los clientes una de las toallas del bano estaba vieja con boquetes de verguenza el hotel en general muy viejo y los pasillos no huelen bien no recomiendo ese hotel,1.0,español_seguro,[],False,0
"Fuimos a una oposición y escogimos este hotel por cercanía a la prueba con desayuno incluido al llegar nos dijeron que cafetería no abría hasta las 7.30, dijimos que nos reembolsaran el desayuno y no lo hicieron, nos montaron un desayuno en recepción nefasto con máquina de café estropeada incluida. En definitiva nos fuimos al examen sin desayunar.",negativo,es,fuimos a una oposicion y escogimos este hotel por cercania a la prueba con desayuno incluido al llegar nos dijeron que cafeteria no abria hasta las 730 dijimos que nos reembolsaran el desayuno y no lo hicieron nos montaron un desayuno en recepcion nefasto con maquina de cafe estropeada incluida en definitiva nos fuimos al examen sin desayunar,1.0,español_seguro,[],False,0
"En términos generales el hotel está bien. Las habitaciones necesitan una actualización: ya se aprecia el desgaste y la decadencia. [PERSONA] muy bien situado. [PERSONA] excelente. [PERSONA] incidencia en la habitación, a la que reaccionaron inmediatamente y que resolvieron de manera satisfactoria.",neutro,es,en terminos generales el hotel esta bien las habitaciones necesitan una actualizacion ya se aprecia el desgaste y la decadencia hotel muy bien situado personal excelente pequena incidencia en la habitacion a la que reaccionaron inmediatamente y que resolvieron de manera satisfactoria,1.0,español_seguro,[],False,0
"Conozco este hotel por varios años. En principio [PERSONA] me han cobrado el parquin. En esta ocasión pregunté, como siempre, en recepción por el parquin y muy amablemente me dijo el recepcionista que sin problema, como siempre. Mi sorpresa es que al ir a entregar la llave y validar el tiquet, me dice el señor de recepción, bastante serio, que me lo iba a cobrar, le hice saber lo que me dijo su compañero, y casi sin mirarme, [PERSONA] completamente me larga la nota de cargo del parquin, por 10 euros. Cantidad ridícula, pero actuación nefasta del recepcionista que me lleva a no volver a ese hotel en mis viajes a Sevilla.",negativo,es,conozco este hotel por varios anos en principio jamas me han cobrado el parquin en esta ocasion pregunte como siempre en recepcion por el parquin y muy amablemente me dijo el recepcionista que sin problema como siempre mi sorpresa es que al ir a entregar la llave y validar el tiquet me dice el senor de recepcion bastante serio que me lo iba a cobrar le hice saber lo que me dijo su companero y casi sin mirarme obviandome completamente me larga la nota de cargo del parquin por 10 euros cantidad ridicula pero actuacion nefasta del recepcionista que me lleva a no volver a ese hotel en mis viajes a sevilla,1.0,español_seguro,[],False,0
"[PERSONA] Poco simpáticos y publicidad inexacta [TELEFONO] Hotel desaconsejable, pedí en la propia reserva de Booking que las ventanas se pudiera abrir. No contestaron y en cuanto estuve allí una recepcionista de forma poco educada me dijo que no que las ventanas no se pueden abrir que si no la gente se tiraria. Ante tal argumento [PERSONA] la habitación y me mintieron diciéndome que no cobrarían nada y si lo hicieron a pesar de que la reclamación la hice a través de [PERSONA]. No tengo constancia de la devolución de un servicio que reserve el mismo día y que no tenia gastos de cancelación y me la cobraron Esa fue mi experiencia en el hall y no conozco las instalaciones pero vamos que no se puedan abrir las ventanas porque la gente se tiraría es de en fin. Igual tenía un mal...",negativo,es,ayre seville poco simpaticos y publicidad inexacta 797571471 hotel desaconsejable pedi en la propia reserva de booking que las ventanas se pudiera abrir no contestaron y en cuanto estuve alli una recepcionista de forma poco educada me dijo que no que las ventanas no se pueden abrir que si no la gente se tiraria ante tal argumento  anule la habitacion y me mintieron diciendome que no cobrarian nada y si lo hicieron a pesar de que la reclamacion la hice a traves de booking no tengo constancia de la devolucion de un servicio que reserve el mismo dia y que no tenia gastos de cancelacion y me la cobraron esa fue mi experiencia en el hall y no conozco las instalaciones pero vamos que no se puedan abrir las ventanas porque la gente se tiraria es de en fin igual tenia un mal,1.0,español_seguro,[],False,0
"Hotel muy grande junto a la estación de Santa Justa,pedi una cama grande y se equivocaron por diversos motivos,me dieron una habitación la 505 ruidosa y cama pequeña,no pensaba volver y hoy en recepción mostre mi descontento,me acaba de llamar la responsable de Calidad y me ha aclarado todo,un gusto y un placer que las cosas funcionen,volvere gustoso",neutro,es,hotel muy grande junto a la estacion de santa justapedi una cama grande y se equivocaron por diversos motivosme dieron una habitacion la 505 ruidosa y cama pequenano pensaba volver y hoy en recepcion mostre mi descontentome acaba de llamar la responsable de calidad y me ha aclarado todoun gusto y un placer que las cosas funcionenvolvere gustoso,1.0,español_seguro,[],False,0
"El trato y amabilidad de los trabajadores excelente. Las instalaciones generales bien, el desayuno bueno. Las habitaciones espaciosas con camas cómodas. Un pero, el baño necesita una obra, olores a tuberias, elementos de los sanitarios que necesitaban cambio hace mucho tiempo y con otras zonas son un nido de infecciones, griferia desenacajada y anticuada...",neutro,es,el trato y amabilidad de los trabajadores excelente las instalaciones generales bien el desayuno bueno las habitaciones espaciosas con camas comodas un pero el bano necesita una obra olores a tuberias elementos de los sanitarios que necesitaban cambio hace mucho tiempo y con otras zonas son un nido de infecciones griferia desenacajada y anticuada,1.0,español_seguro,[],False,0
Normalito para ser un 4 estrellas. El trato bien. Todo correcto. Bien adaptado al protocolo Covid. Lo mejor que está al lado de la estación de tren y para ir a la ciudad por trabajo resulta muy cómodo,neutro,es,normalito para ser un 4 estrellas el trato bien todo correcto bien adaptado al protocolo covid lo mejor que esta al lado de la estacion de tren y para ir a la ciudad por trabajo resulta muy comodo,1.0,español_seguro,[],False,0
"El hotel enciende la calefacción sin que haya suficiente frío y no es posible graduarla porque es central, tuve que cambiar de habitación a media noche por calor y al tener la nueva habitación las sabanas olían a cigarrillo a pesar de estar prohibido fumar en las habitaciones y como si no fueran sábanas limpias. En fin muy mala higiene y servicio",negativo,es,el hotel enciende la calefaccion sin que haya suficiente frio y no es posible graduarla porque es central  tuve que cambiar de habitacion a media noche por calor y al tener la nueva habitacion las sabanas olian a cigarrillo a pesar de estar prohibido fumar en las habitaciones y como si no fueran sabanas limpias en fin muy mala higiene y servicio,1.0,español_seguro,[],False,0
"Acudí con mi marido, al llegar a la habitación vimos que eran dos camas, educadamente bajamos a la recepción para preguntar si había alguna cama de matrimonio, pero rápidamente nos respondió que no (de manera muy seca)... ""que juntemos la camitas y es lo mismo..."" es la misma respuesta que les daría a una pareja heterosexual? Gracias a ese recepcionista no volveremos a pisar ningún hotel de vuestra cadena... cansado",negativo,es,acudi con mi marido al llegar a la habitacion vimos que eran dos camas educadamente bajamos a la recepcion para preguntar si habia alguna cama de matrimonio pero rapidamente nos respondio que no de manera muy seca que juntemos la camitas y es lo mismo es la misma respuesta que les daria a una pareja heterosexual gracias a ese recepcionista no volveremos a pisar ningun hotel de vuestra cadena cansado,1.0,español_seguro,[],False,0
"[PERSONA] este hotel entre otras cosas,por su ubicacion y por la estetica,coqueto y pintoresco. Las recepcionistas muy amables y profesionales,pero en cuanto a las prestaciones..un hotel 4 estrellas con servicio de pension. Solo funciona el desayuno,el servicio absolutamente precario,ni siquera la nevera disponible en la habitacion estaba servida,ni [PERSONA],ni sauna,la terraza estupenda,un poco dejada,eso si las habitaciones muy acogedoras y limpias,lastima la falta de servicios,que impiden el disfrute en sus instalaciones.",negativo,es,elegi este hotel entre otras cosaspor su ubicacion y por la esteticacoqueto y pintoresco las recepcionistas muy amables y profesionalespero en cuanto a las prestacionesun hotel 4 estrellas con servicio de pension solo funciona el desayunoel servicio absolutamente precarioni siquera la nevera disponible en la habitacion estaba servidani jacuzzini saunala terraza estupendaun poco dejadaeso si las habitaciones muy acogedoras y limpiaslastima la falta de serviciosque impiden el disfrute en sus instalaciones,1.0,español_seguro,[],False,0
"Bastante decepcionada, suelo ir a hoteles de 4 y son mucho mejores. Las camas y almohadas muy incomodas, el mobiliario esta muy usado, el servicio de limpieza pésimo, dos días no se llevaron las toallas sucias y tampoco nos pusieron limpias, tuvimos que pedir toallas en recepción y como no tenían nos dieron de la piscina, también pedí otra almohada y no tienen de repuesto. Respecto a la televisión no se ven casi ningún canal y tampoco supieron arreglarlo, el chico que subió a la habitación no tenia ni idea. Cuando entramos en la habitación no estaba limpia había mucho polvo y un peine usado en el suelo que seria de los clientes anteriores. El baño muy antiguo. En relación calidad precio no corresponde con lo pagado.",negativo,es,bastante decepcionada suelo ir a hoteles de 4 y son mucho mejores las camas y almohadas muy incomodas el mobiliario esta muy usado el servicio de limpieza pesimo dos dias no se llevaron las toallas sucias y tampoco nos pusieron limpias tuvimos que pedir toallas en recepcion y como no tenian nos dieron de la piscina tambien pedi otra almohada y no tienen de repuesto respecto a la television no se ven casi ningun canal y tampoco supieron arreglarlo el chico que subio a la habitacion no tenia ni idea cuando entramos en la habitacion no estaba limpia habia mucho polvo y un peine usado en el suelo que seria de los clientes anteriores el bano muy antiguo en relacion calidad precio no corresponde con lo pagado,1.0,español_seguro,[],False,0
"Reservamos una habitación deluxe en la cual el lavabo estaba atascado y se llenaba de agua hasta arriba, se suponía que la tele tenía smart tv lo cual no es así porque no tiene acceso a Internet por lo que no se podía usar el smart tv, nos ofrecieron cambiar de habitación a las 12 de la noche y nos dijeron que nos avisarían y estuvimos esperando pero nunca lo hicieron. No tiene servicio de descubierta como ofrecen en la información de la habitación. Y aún siendo temporada baja tampoco puedes hacer el uso del Early check-in ni del Late check- out. Parte del personal genial la otra parte deja mucho que desear.",neutro,es,reservamos una habitacion deluxe en la cual el lavabo estaba atascado y se llenaba de agua hasta arriba  se suponia que la tele tenia smart tv lo cual no es asi porque no tiene acceso a internet por lo que no se podia usar el smart tv  nos ofrecieron cambiar de habitacion a las 12 de la noche y nos dijeron que nos avisarian y estuvimos esperando pero nunca lo hicieron  no tiene servicio de descubierta como ofrecen en la informacion de la habitacion y aun siendo temporada baja tampoco puedes hacer el uso del early checkin ni del late check out  parte del personal genial la otra parte deja mucho que desear,1.0,español_seguro,[],False,0
"Como ya he contestado en el formulario, hay cosas mejorables. Como por ejemplo el tema de la piscina y los turnos, las ventajas de clientes rewards, el tema de plagas en habitaciones, la amabilidad del personal de recepción, etc.",neutro,es,como ya he contestado en el formulario hay cosas mejorables como por ejemplo el tema de la piscina y los turnos las ventajas de clientes rewards el tema de plagas en habitaciones la amabilidad del personal de recepcion etc,1.0,español_seguro,[],False,0
"El hotel está bastante bien, todas las medidas de covid perfectas y el servicio muy amable. El único problema es que se permiten mascotas en el hotel, por lo que si eres alérgico no te hará ninguna gracia estar en la habitación estornudando todo el tiempo. Se ve que es habitual en los catalonia, porque no es la primera vez que pasa. Por otra parte, reservamos el spa y tuvimos que pagar 4 por unas chanclas, que no nos avisaron que deberíamos llevar. [PERSONA] comunicar lo necesario para disfrutar de las instalaciones, sin necesidad de ir sacando dinero.",neutro,es,el hotel esta bastante bien todas las medidas de covid perfectas y el servicio muy amable el unico problema es que se permiten mascotas en el hotel por lo que si eres alergico no te hara ninguna gracia estar en la habitacion estornudando todo el tiempo se ve que es habitual en los catalonia porque no es la primera vez que pasa por otra parte reservamos el spa y tuvimos que pagar 4 por unas chanclas que no nos avisaron que deberiamos llevar deberian comunicar lo necesario para disfrutar de las instalaciones sin necesidad de ir sacando dinero,1.0,español_seguro,[],False,0
"El hotel muy bonito y buena ubicación en general. Pero los servicios para ser un 4 estrellas son muy pobres. Lo mismo si quieres estar en la piscina, al no estar arriba del todo y haber edificios o vas a primera hora o no tomas el sol. [PERSONA] es enana",neutro,es,el hotel muy bonito y buena ubicacion en general pero los servicios para ser un 4 estrellas son muy pobres lo mismo si quieres estar en la piscina al no estar arriba del todo y haber edificios o vas a primera hora o no tomas el sol ademas es enana,1.0,español_seguro,[],False,0
"Lo mejor del hotel es la ubicación...lo demás es bastante normal. Sinceramente esperábamos más para un hotel de la cadena Barceló, hemos estado en otros hoteles de la cadena y teníamos unas expectativas más elevadas para este.",neutro,es,lo mejor del hotel es la ubicacionlo demas es bastante normal sinceramente esperabamos mas para un hotel de la cadena barcelo hemos estado en otros hoteles de la cadena y teniamos unas expectativas mas elevadas para este,1.0,español_seguro,[],False,0
"No tiene la calidad de la cadena [PERSONA]. El personal de recepción ([PERSONA]) poco resolutivo. En la página web del hotel indican que en las junior suite pueden poner dos camas adicionales, se solicita a la hora de hacer la reserva, pero al llegar al hotel nos indican que este servicio en el hotel no lo hacen. [PERSONA] al servicio my barcelo y no hemos disfrutado de ningún servicio, ni servicio de bienvenida, ni detalle de bienvenida, ni minibar ni una simple botella de agua en la habitación a nuestra llegada. Me parece increíble que la cadena [PERSONA], tenga este hotel en su cadena. Lástima que en el Barcelo Renacimiento no hubiera habitaciones, porque estoy seguro que no hubieramos tenido estos problemas.",negativo,es,no tiene la calidad de la cadena barcelo el personal de recepcion rafael poco resolutivo en la pagina web del hotel indican que en las junior suite pueden poner dos camas adicionales se solicita a la hora de hacer la reserva pero al llegar al hotel nos indican que este servicio en el hotel no lo hacen pertenezco al servicio my barcelo y no hemos disfrutado de ningun servicio ni servicio de bienvenida ni detalle de bienvenida ni minibar ni una simple botella de agua en la habitacion a nuestra llegada me parece increible que la cadena barcelo tenga este hotel en su cadena lastima que en el barcelo renacimiento no hubiera habitaciones porque estoy seguro que no hubieramos tenido estos problemas,1.0,español_seguro,[],False,0
