idx_original,sentimiento,topicos_json,topicos_resumen,n_topicos,prompt_eval_count,eval_count,total_tokens
60,neutro,"[{""topico"": ""Instalaciones y servicios"", ""fragmento"": ""piscina llena de gente...gente con la toalla tirada por el suelo, toallas colgadas por todos lados y gente 'pegada' en las tumbonas toda la tarde..."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""no había nadie que controlase el aforo, si era el del bar pues estaba a lo suyo y allí no controlaba nadie..."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Comodidad"", ""fragmento"": ""llegamos a las 15 y preguntamos en Recepción por el aforo en la piscina...nos dice 30 personas y que ahora mismo está libre..."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""el desayuno lo único que se diferenciaba de los tiempos de antes del Covid19 es que te daban unas pinzas desechables para..."", ""sentimiento_topico"": ""neutro""}]",Instalaciones y servicios | Instalaciones y servicios | Comodidad | Relación calidad-precio,4,703,257,960
61,negativo,"[{""topico"": ""Instalaciones y servicios"", ""fragmento"": ""sin servicio de habitaciones ni restaurante"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""Un 10 camareras de piso, es lo mejor del hotel"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Comodidad"", ""fragmento"": ""Paredes y suelos deteriorados y moquetas"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Parking"", ""fragmento"": ""Parking de difícil acceso y muy pequeño, te llevarás algún golpe de barras o columnas( POR TODAS PARTES)"", ""sentimiento_topico"": ""negativo""}]",Instalaciones y servicios | Relación calidad-precio | Comodidad | Parking,4,560,170,730
62,neutro,"[{""topico"": ""Instalaciones y servicios"", ""fragmento"": ""la habitación y el baño es amplio."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""Los recepcionistas muy amables y serviciales y eso es de agradecer."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Desayuno / Gastronomía"", ""fragmento"": ""En cuanto al desayuno tipo buffet muy sorprendida por que tenía mucha variedad y opciones a elegir y de calidad no estaba nada mal."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Ubicación"", ""fragmento"": ""El hotel cuenta con buena ubicación, la habitación está bien insonorizada ya que por la ubicación del hotel tiene bastante tráfico."", ""sentimiento_topico"": ""neutro""}]",Instalaciones y servicios | Atención al cliente | Desayuno / Gastronomía | Ubicación,4,617,203,820
63,negativo,"[{""topico"": ""Relación calidad-precio"", ""fragmento"": ""'cuatro estrellas' -viejo, deprimente y destartalado- le sobran como mínimo dos..."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""la ducha de teléfono de mi habitación se encontraba orientada hacia la pared del baño..."", ""sentimiento_topico"": ""negativo""}]",Relación calidad-precio | Instalaciones y servicios,2,690,105,795
64,negativo,"[{""topico"": ""Limpieza"", ""fragmento"": ""moqueta??? [PERSONA] muy antiguos,deja mucho q desear"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""camas regulares,la zona de la piscina necesita también un buen cambio"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""los recepcionistas simpáticos"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""Buen hotel,dejado de la mano,viejo y antiguo"", ""sentimiento_topico"": ""negativo""}]",Limpieza | Instalaciones y servicios | Atención al cliente | Relación calidad-precio,4,559,179,738
65,neutro,"[{""topico"": ""Comodidad"", ""fragmento"": ""El hotel es confortable pero necesita una puesta a punto..."", ""sentimiento_topico"": ""neutro""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""tiene algunos desperfectos de uso y un poco anticuado."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""El personal muy correcto..."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Desayuno / Gastronomía"", ""fragmento"": ""esta bien, bastante variado, teniendo en cuenta que todavia no trabaja al 100 100."", ""sentimiento_topico"": ""positivo""}]",Comodidad | Instalaciones y servicios | Atención al cliente | Desayuno / Gastronomía,4,545,168,713
66,negativo,"[{""topico"": ""Atención al cliente"", ""fragmento"": ""llevo desde marzo con correos, llamadas para que me devolvieran el dinero porque el estado de alarma decretado en España ha cerrado hoteles como éste, y hacen caso omiso."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""Mi reserva era no reembolsable pero todo el mundo entiende que no te van a reembolsar si el problema es tuyo, no si el hotel esté cerrado a cal y canto..."", ""sentimiento_topico"": ""negativo""}]",Atención al cliente | Relación calidad-precio,2,687,149,836
67,neutro,"[{""topico"": ""Atención al cliente"", ""fragmento"": ""No tienen (y a eso, en la recepcion ni se dignaron mirarme ni mucho menos ayudarme a mover un paso)"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""Pedí un ordenador e imoresora disponible para los clientes. No tienen."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""[PERSONA] juegos de mesa para pasar el rato. No tienen."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""Bidé en las habitaciones? No tienen."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""Es realmente de 4 estrellas?"", ""sentimiento_topico"": ""negativo""}]",Atención al cliente | Instalaciones y servicios | Instalaciones y servicios | Instalaciones y servicios | Relación calidad-precio,5,603,212,815
68,neutro,"[{""topico"": ""Atención al cliente"", ""fragmento"": ""recepcionistas agradables"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Comodidad"", ""fragmento"": ""cama cómoda"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""muy luminosa y buenas vistas"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""Sin parking gratuito pero cerca puedes aparcar a cambio de una monedilla al gorrilla de turno"", ""sentimiento_topico"": ""negativo""}]",Atención al cliente | Comodidad | Instalaciones y servicios | Relación calidad-precio,4,537,151,688
69,negativo,"[{""topico"": ""Atención al cliente"", ""fragmento"": ""se negaron a hacérmelo, aún teniendo habitaciones libres para la fecha"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""la señorita de recepción me dejó con el teléfono en la mano"", ""sentimiento_topico"": ""negativo""}]",Atención al cliente | Atención al cliente,2,544,93,637
70,neutro,"[{""topico"": ""Limpieza"", ""fragmento"": ""habitacion amplia, limpia"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""buen servicio y atención"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""no hay bidet"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""balcón, supongo no cerraba bien y en día lluvioso entró agua"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Desayuno / Gastronomía"", ""fragmento"": ""bien en cantidad, era buffet"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Desayuno / Gastronomía"", ""fragmento"": ""faltaba cierto punto de calidad o amor en la cocina, faltaba consistencia o sofrito en algunos platos y las sopas de noche me parecieron todas iguales"", ""sentimiento_topico"": ""negativo""}]",Limpieza | Atención al cliente | Instalaciones y servicios | Instalaciones y servicios | Desayuno / Gastronomía | Desayuno / Gastronomía,6,625,259,884
71,negativo,"[{""topico"": ""Comodidad"", ""fragmento"": ""El sistema de ventilación es ruidoso y no permite un óptimo descanso."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Limpieza"", ""fragmento"": ""Cada año he tenido algún porblema o con olores del baño o con el sistema de calefacción."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""Los cerramientos son malos, entra mucho ruido y frío por las ventanas. El sistema de ventilación es ruidoso..."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""En general no se como puede tener la calificación de 4 estrellas."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Ubicación"", ""fragmento"": ""Lo unico bueno que tiene es la ubicación."", ""sentimiento_topico"": ""positivo""}]",Comodidad | Limpieza | Instalaciones y servicios | Relación calidad-precio | Ubicación,5,612,235,847
72,neutro,"[{""topico"": ""Limpieza"", ""fragmento"": ""el baño no estaba totalmente limpio y no había escobilla en el inodoro!"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Comodidad"", ""fragmento"": ""la habitación triple bastante pequeña, de hecho parece una habitación doble."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""el parking bastante caro"", ""sentimiento_topico"": ""negativo""}]",Limpieza | Comodidad | Instalaciones y servicios,3,561,124,685
73,negativo,"[{""topico"": ""Atención al cliente"", ""fragmento"": ""intenté ponerme en contacto con ellos 11 veces para comunicarles que llegaríamos muy tarde porque además el vuelo se retrasaba.de las once veces 5 estaban ocupados, no las contaré, de las otras seis me han tenido al teléfono..."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""sin conseguir hablar con ellos."", ""sentimiento_topico"": ""negativo""}]",Atención al cliente | Atención al cliente,2,660,119,779
74,negativo,"[{""topico"": ""Gastronomía"", ""fragmento"": ""mixto seco, patatas sin sal y la ensalada de frutas... se ve que han usado un cuchillo sucio porque tenía sabor a cebolla y fue un chasco."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Gastronomía"", ""fragmento"": ""El restaurante no nos ha gustado mucho ya que el primer día cenamos y para nuestra sorpresa esperábamos un poco más... hay que mejorar..."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""muy atentos y amables.."", ""sentimiento_topico"": ""positivo""}]",Gastronomía | Gastronomía | Atención al cliente,3,618,170,788
75,neutro,"[{""topico"": ""Limpieza"", ""fragmento"": ""las habitaciones son grandes y están limpias"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""el hotel le cojáis por la página web del hotel tiene la promoción de parking gratuito y puedes entrar y salir tantas veces como quieras del parking"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Comodidad"", ""fragmento"": ""las habitaciones son grandes"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Ubicación"", ""fragmento"": ""Para ir al centro cogíamos el bus que está la parada a 5 minutos y no movimos el coche"", ""sentimiento_topico"": ""positivo""}]",Limpieza | Instalaciones y servicios | Comodidad | Ubicación,4,589,184,773
76,negativo,"[{""topico"": ""Comodidad"", ""fragmento"": ""Las habitaciones son frías..."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""Que las camas no estén completamente vestidas..."", ""sentimiento_topico"": ""negativo""}]",Comodidad | Instalaciones y servicios,2,537,73,610
77,negativo,"[{""topico"": ""Limpieza"", ""fragmento"": ""Cristales de la habitación sucios"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""cortinas que no se corren bien y mal colgadas"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""roto en el brazo del sofá del distribuidor de la planta, junto a los ascensores"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""La recepcionista del turno de noche fue encantadora"", ""sentimiento_topico"": ""positivo""}]",Limpieza | Instalaciones y servicios | Instalaciones y servicios | Atención al cliente,4,561,169,730
78,neutro,"[{""topico"": ""Limpieza"", ""fragmento"": ""El suelo del baño sucio y las toallas con manchas."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""[PERSONA] calidad precio regular."", ""sentimiento_topico"": ""neutro""}, {""topico"": ""Comodidad"", ""fragmento"": ""las camas cómodas."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""la situación es buena..."", ""sentimiento_topico"": ""positivo""}]",Limpieza | Relación calidad-precio | Comodidad | Instalaciones y servicios,4,544,143,687
79,neutro,"[{""topico"": ""Comodidad"", ""fragmento"": ""El colchón de látex cómodo, las almohadas blandas en exceso."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""El lcd de 15\""."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Comodidad"", ""fragmento"": ""La habitación amplia, al igual que el baño."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""Me gustó la mucha iluminación de la habitación y el ventanal,aunque se oía la calle, mejor pedir habitación interior."", ""sentimiento_topico"": ""neutro""}]",Comodidad | Instalaciones y servicios | Comodidad | Atención al cliente,4,585,179,764
80,neutro,"[{""topico"": ""Comodidad"", ""fragmento"": ""La habitación espaciosa con un baño amplio"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""El hotel está situado a 25 min andando del parque María Luisa y del centro caminando, así que si te gusta los paseos es una buena opción."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""Por 42 la noche con el parking incluido no está mal para dos personas y un bebé."", ""sentimiento_topico"": ""positivo""}]",Comodidad | Instalaciones y servicios | Relación calidad-precio,3,621,154,775
81,negativo,"[{""topico"": ""Instalaciones y servicios"", ""fragmento"": ""las instalaciones en general, zonas comunes, cafetería, etc no están a la altura."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Desayuno / Gastronomía"", ""fragmento"": ""Desayuno buffet de poca calidad."", ""sentimiento_topico"": ""negativo""}]",Instalaciones y servicios | Desayuno / Gastronomía,2,566,93,659
82,neutro,"[{""topico"": ""Limpieza"", ""fragmento"": ""hotel barato y limpio"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""El trato del personal del hotel es muy bueno"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""hotel barato y limpio"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""oferta incluia parking gratuito y facilita los desplazamientos"", ""sentimiento_topico"": ""positivo""}]",Limpieza | Atención al cliente | Relación calidad-precio | Instalaciones y servicios,4,539,147,686
83,negativo,"[{""topico"": ""Atención al cliente"", ""fragmento"": ""La recepcionista que me hizo el check in casi ni me miro a la cara..."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""...la persona que me atendió, de muy malas maneras..."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""Tiene room service según la carta de 9.00 a 10.30."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""...la cocina cierra a las 16.00."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Comodidad"", ""fragmento"": ""Las habitaciones muy limpias y sin ruido."", ""sentimiento_topico"": ""positivo""}]",Atención al cliente | Atención al cliente | Instalaciones y servicios | Instalaciones y servicios | Comodidad,5,633,207,840
84,negativo,"[{""topico"": ""Desayuno / Gastronomía"", ""fragmento"": ""El cafe es malísimo, la bollería está muy mal horneada, la fruta.... incomestible aguada y con pinta de llevar muchas horas cortada."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Ubicación"", ""fragmento"": ""Para solo dir.ir no está mal, pero si tienes en cue ta que wstá al lado de un hospital y que comparten el parkeng con este y con el Mercado..."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Habitación"", ""fragmento"": ""La limpieza es correcta, el colchón cómodo, el baño amplio y limpio. ¿ El fallo?, que la ventana era directamente a las del horpital y a los megaventiladores de aire acondicionado con su ruido correspondiente."", ""sentimiento_topico"": ""negativo""}]",Desayuno / Gastronomía | Ubicación | Habitación,3,705,221,926
85,neutro,"[{""topico"": ""Comodidad"", ""fragmento"": ""la temperatura superaba los 40 grados durante el día."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""Volveremos a reservar para el siguiente viaje a Sevilla."", ""sentimiento_topico"": ""positivo""}]",Comodidad | Relación calidad-precio,2,530,82,612
86,negativo,"[{""topico"": ""Atención al cliente"", ""fragmento"": ""no atiende los problemas que se puedan ocasionar en las habitaciones contiguas como ruidos molestos hasta altas horas de la madrugada."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""No recomendable ya que..."", ""sentimiento_topico"": ""negativo""}]",Atención al cliente | Relación calidad-precio,2,561,98,659
87,negativo,"[{""topico"": ""Limpieza"", ""fragmento"": ""La limpieza tampoco era nada del otro mundo."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""Las paredes de la habitación de papel, se escuchaba TODO cualquier conversación en el pasillo o puertas como si estuvieran dentro de tu habitación, difícil para dormir."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Comodidad"", ""fragmento"": ""dificultad para dormir"", ""sentimiento_topico"": ""negativo""}]",Limpieza | Instalaciones y servicios | Comodidad,3,688,142,830
88,negativo,"[{""topico"": ""Limpieza"", ""fragmento"": ""La limpieza deja mucho que desear, solo pedimos que esté todo desinfectado."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Limpieza"", ""fragmento"": ""La ducha estaba muy sucia y con pelos."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Limpieza"", ""fragmento"": ""Por la mañana no han sido capaces ni de barrer el suelo (hablo de las dos habitaciones, así que supongo que son todas iguales)."", ""sentimiento_topico"": ""negativo""}]",Limpieza | Limpieza | Limpieza,3,598,148,746
89,neutro,"[{""topico"": ""Instalaciones y servicios"", ""fragmento"": ""Buen hall-recepcion y fácil acceso."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Comodidad"", ""fragmento"": ""Las habitaciones quiza algo antiguas, con gotelé en techo y cortina en la bañera-ducha."", ""sentimiento_topico"": ""negativo""}]",Instalaciones y servicios | Comodidad,2,628,94,722
90,negativo,"[{""topico"": ""Instalaciones y servicios"", ""fragmento"": ""sin reformar"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Comodidad"", ""fragmento"": ""'vistas' a una azotea"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""excesivo para un alojamiento sin servicios"", ""sentimiento_topico"": ""negativo""}]",Instalaciones y servicios | Comodidad | Relación calidad-precio,3,550,105,655
91,neutro,"[{""topico"": ""Atención al cliente"", ""fragmento"": ""Personal amable"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Limpieza"", ""fragmento"": ""Hotel limpio"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Desayuno / Gastronomía"", ""fragmento"": ""Buen desayuno buffet"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""Zona tranquila... bares, cervecerias, terrazas"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Comodidad"", ""fragmento"": ""Habitaciones adaptadas muy bien para tres o cuatro personas"", ""sentimiento_topico"": ""positivo""}]",Atención al cliente | Limpieza | Desayuno / Gastronomía | Instalaciones y servicios | Comodidad,5,555,180,735
92,negativo,"[{""topico"": ""Atención al cliente"", ""fragmento"": ""Mucho que desear, esperaba un trato mejor al que nos han dado."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Comodidad"", ""fragmento"": ""La habitación estaba muy bien y nos gustó mucho"", ""sentimiento_topico"": ""positivo""}]",Atención al cliente | Comodidad,2,532,84,616
